Location,Employment_2020,Employment_2021,Employment_2022,Inc_Per_Cap_2020,Inc_Per_Cap_2021,Inc_Per_CAp_2022,Life_Exp_2020,Life_Exp_2019,Life_Exp_2018,Employer_2019,Non-Group_2019,Medicaid_2019,Medicare_2019,Military_2019,Uninsured_2019,Employer_2021,Non-Group_2021,Medicaid_2021,Medicare_2021,Military_2021,Uninsured_2021,Population Density per mi²,2010 Population,2020 Population,flu_vaccination_rate_2019,asthma_prevalence,cardiac_mortality_rate,high_bp_prevalence,copd_prevalence,kidney_disease_prevalence,diabetes_prevalence,Physicians,Physicians Rate,Active MO,Active MO Rate,Active DO,Active DO Rate,Exc_deaths_2017,Exc_deaths_2018,Exc_deaths_2019,Exc_deaths_2020,Exc_deaths_2021,Exc_deaths_2022
Nebraska,1305651,1334434,1372111,56733,62682,64268,77.7,79.2,79.1,0.568,0.069,0.126,0.142,0.016,0.079,0.553,0.067,0.149,0.142,0.018,0.07,26.06,1826341,1961504,47.6,8.1,194.2,28.9,5.2,2.2,9.2,4820.0,249.2,4537.0,234.5,283.0,14.6,1701,1392,756,5520,3752,3298
Nevada,1770886,1912872,2061871,54650,61024,62085,76.3,78.0,77.9,0.495,0.055,0.178,0.14,0.017,0.115,0.463,0.06,0.208,0.141,0.015,0.114,29.38,2700551,3104614,30.7,9.3,252.2,30.5,7.3,2.7,9.9,6731.0,218.5,5648.0,183.4,1083.0,35.2,2805,1014,516,8988,13442,7256
New Hampshire,858471,894739,933022,67883,72214,73910,79.0,79.4,79.1,0.562,0.053,0.132,0.177,0.012,0.064,0.577,0.05,0.135,0.176,0.012,0.05,155.91,1316470,1377529,45.4,11.3,185.0,28.1,5.4,2.4,8.0,4391.0,322.9,3996.0,293.9,395.0,29.1,1011,879,453,2019,2104,2948
New Jersey,5319454,5585214,5905843,70957,76079,77199,77.5,80.1,79.8,0.557,0.054,0.166,0.138,0.005,0.079,0.546,0.057,0.184,0.138,0.004,0.072,1283.4,8791894,9288994,,,202.7,,,,,27832.0,313.3,24622.0,277.2,3208.0,36.1,7344,6069,1227,43504,15279,12623
New Mexico,1069531,1092639,1139488,46631,51141,52194,74.5,76.9,77.2,0.366,0.04,0.327,0.15,0.018,0.098,0.34,0.044,0.344,0.156,0.016,0.1,17.6,2059179,2117522,40.7,8.3,204.0,28.9,5.0,3.3,11.0,5269.0,251.3,4929.0,235.1,340.0,16.2,1473,1431,1182,8745,11169,6630
New York,11871619,12227874,12892046,69873,75948,75407,77.7,80.7,80.5,0.498,0.058,0.257,0.13,0.004,0.053,0.476,0.059,0.276,0.133,0.004,0.052,433.9,19378102,20201249,43.5,9.3,208.1,27.1,5.2,2.3,9.4,75749.0,389.4,71442.0,367.2,4300.0,22.1,4704,5727,1731,39043,29370,20644
North Carolina,6054937,6318605,6602041,51781,56705,58109,76.1,77.6,77.6,0.463,0.067,0.179,0.153,0.024,0.114,0.46,0.069,0.188,0.155,0.025,0.104,220.3,9535483,10439388,47.1,8.2,212.1,32.4,7.0,3.6,10.6,27650.0,263.6,26024.0,248.1,1626.0,15.5,4542,3357,1641,25087,41485,28192
North Dakota,560448,567834,587819,61091,65895,70360,76.9,78.8,79.3,0.557,0.09,0.122,0.138,0.021,0.074,0.575,0.079,0.098,0.144,0.027,0.077,11.75,672591,779094,46.1,8.2,198.6,28.4,4.9,2.5,8.3,1826.0,239.6,1722.0,226.0,104.0,13.6,1161,822,1341,3384,1605,975
Ohio,6852979,7048306,7305177,52879,57026,57777,75.3,76.9,76.8,0.526,0.04,0.2,0.159,0.008,0.067,0.507,0.044,0.216,0.16,0.008,0.065,290.7,11536504,11799448,40.4,11.3,247.8,31.5,8.1,2.8,10.3,35333.0,302.3,30747.0,263.0,4583.0,39.2,12048,6849,405,36581,41610,22534
Oklahoma,2266945,2314387,2412886,50249,55165,56298,74.1,75.7,75.6,0.455,0.055,0.17,0.151,0.02,0.149,0.429,0.055,0.201,0.155,0.023,0.138,58.63,3751351,3959353,42.9,10.3,285.7,35.5,8.1,3.6,11.1,8293.0,209.6,6474.0,163.6,1815.0,45.9,2187,3693,1587,13180,18822,13561
