State,County,Count
IA,Muscatine County,82
IA,O'Brien County,82
IA,Osceola County,501
IA,Page County,433
IA,Palo Alto County,82
IA,Plymouth County,470
IA,Pocahontas County,430
IA,Pottawattamie County,82
IA,Poweshiek County,82
IA,Ringgold County,82
IA,Sac County,82
IA,Sioux County,148
IA,Story County,82
IA,Tama County,82
IA,Taylor County,1258
IA,Wapello County,82
IA,Webster County,904
IA,Winneshiek County,82
IA,Woodbury County,82
IA,Worth County,82
IA,Wright County,376
KS,Anderson County,857
KS,Atchison County,271
KS,Barber County,271
KS,Barton County,271
KS,Bourbon County,607
KS,Chase County,271
KS,Chautauqua County,705
KS,Cloud County,271
KS,Coffey County,271
KS,Comanche County,521
KS,Cowley County,271
KS,Doniphan County,271
KS,Elk County,706
KS,Ellis County,521
KS,Ellsworth County,271
KS,Finney County,271
KS,Geary County,271
KS,Gove County,271
KS,Graham County,593
KS,Gray County,521
KS,Greeley County,271
KS,Greenwood County,271
KS,Harper County,271
KS,Harvey County,271
KS,Haskell County,521
KS,Hodgeman County,271
KS,Jewell County,271
KS,Kearny County,271
KS,Kingman County,271
KS,Labette County,271
KS,Lane County,638
KS,Leavenworth County,271
KS,McPherson County,271
KS,Meade County,607
KS,Morris County,934
KS,Morton County,337
KS,Nemaha County,271
KS,Neosho County,271
KS,Ness County,271
KS,Norton County,271
KS,Osage County,271
KS,Osborne County,271
KS,Ottawa County,1004
KS,Pawnee County,271
KS,Pottawatomie County,271
KS,Pratt County,271
KS,Rawlins County,271
KS,Reno County,271
KS,Republic County,271
KS,Rice County,565
KS,Riley County,271
KS,Rooks County,271
KS,Seward County,271
KS,Shawnee County,271
KS,Sheridan County,615
KS,Sherman County,888
KS,Smith County,647
KS,Stafford County,622
KS,Stanton County,271
KS,Stevens County,981
KS,Sumner County,271
KS,Thomas County,271
KS,Trego County,271
KS,Wabaunsee County,271
KS,Wallace County,271
KS,Wichita County,521
KS,Wilson County,843
KS,Woodson County,271
KS,Wyandotte County,271
KY,Ballard County,336
KY,Barren County,336
KY,Bath County,687
KY,Bell County,586
KY,Boyd County,336
KY,Boyle County,336
KY,Bracken County,336
KY,Breathitt County,336
KY,Breckinridge County,336
KY,Bullitt County,336
KY,Caldwell County,908
KY,Calloway County,336
KY,Campbell County,753
KY,Carlisle County,336
KY,Carter County,548
KY,Casey County,336
KY,Edmonson County,336
KY,Elliott County,336
KY,Estill County,336
KY,Fleming County,336
KY,Garrard County,336
KY,Graves County,336
KY,Grayson County,937
KY,Green County,578
KY,Greenup County,336
KY,Harlan County,336
KY,Hart County,336
KY,Hickman County,336
KY,Hopkins County,586
KY,Jessamine County,336
KY,Kenton County,336
KY,Knott County,336
KY,Larue County,336
KY,Laurel County,336
KY,Leslie County,336
KY,Letcher County,336
KY,Lewis County,1534
KY,McCracken County,336
KY,McCreary County,336
KY,Magoffin County,336
KY,Menifee County,336
KY,Metcalfe County,336
KY,Muhlenberg County,336
KY,Nelson County,753
KY,Nicholas County,684
KY,Oldham County,586
KY,Owsley County,336
KY,Pendleton County,684
KY,Powell County,548
KY,Robertson County,586
KY,Rockcastle County,336
KY,Rowan County,658
KY,Simpson County,490
KY,Todd County,630
KY,Trigg County,336
KY,Trimble County,336
KY,Wolfe County,336
LA,Acadia Parish,301
LA,Allen Parish,301
LA,Ascension Parish,301
LA,Assumption Parish,301
LA,Avoyelles Parish,301
LA,Beauregard Parish,301
LA,Bienville Parish,301
LA,Bossier Parish,301
LA,Caddo Parish,301
LA,Calcasieu Parish,301
LA,Caldwell Parish,301
LA,Cameron Parish,301
LA,Catahoula Parish,301
LA,Claiborne Parish,301
LA,Concordia Parish,301
LA,De Soto Parish,301
LA,East Baton Rouge Parish,301
LA,East Carroll Parish,301
LA,East Feliciana Parish,301
LA,Evangeline Parish,301
LA,Franklin Parish,301
LA,Grant Parish,301
LA,Iberia Parish,301
LA,Iberville Parish,301
LA,Jackson Parish,301
LA,Jefferson Parish,301
LA,Jefferson Davis Parish,301
LA,Lafayette Parish,301
LA,Lafourche Parish,301
LA,LaSalle Parish,301
LA,Lincoln Parish,301
LA,Livingston Parish,301
LA,Madison Parish,301
LA,Morehouse Parish,301
LA,Natchitoches Parish,301
LA,Orleans Parish,301
LA,Ouachita Parish,301
LA,Plaquemines Parish,301
LA,Pointe Coupee Parish,301
LA,Rapides Parish,301
LA,Red River Parish,301
LA,Richland Parish,301
LA,Sabine Parish,301
LA,St. Bernard Parish,301
LA,St. Charles Parish,301
LA,St. Helena Parish,301
LA,St. James Parish,301
LA,St. John the Baptist Parish,301
LA,St. Landry Parish,301
LA,St. Martin Parish,301
LA,St. Mary Parish,301
LA,St. Tammany Parish,301
LA,Tangipahoa Parish,301
LA,Tensas Parish,301
LA,Terrebonne Parish,301
LA,Union Parish,301
LA,Vermilion Parish,301
LA,Vernon Parish,301
LA,Washington Parish,301
LA,Webster Parish,301
LA,West Baton Rouge Parish,301
LA,West Carroll Parish,301
LA,West Feliciana Parish,301
LA,Winn Parish,301
ME,Androscoggin County,388
ME,Aroostook County,388
ME,Kennebec County,388
MD,Allegany County,826
ME,Oxford County,388
ME,Penobscot County,388
ME,Piscataquis County,388
ME,Sagadahoc County,388
ME,Somerset County,1628
ME,Waldo County,388
ME,York County,1174
MD,Anne Arundel County,392
MD,Baltimore County,392
MD,Calvert County,392
MD,Caroline County,743
MD,Cecil County,392
MD,Charles County,392
MD,Dorchester County,392
MD,Frederick County,743
MD,Garrett County,392
MD,Harford County,392
MD,Prince George's County,392
MD,Queen Anne's County,392
MD,St. Mary's County,392
MD,Talbot County,392
MD,Wicomico County,392
MD,Worcester County,780
MD,Baltimore city,392
MA,Barnstable County,388
MA,Berkshire County,388
MA,Bristol County,812
MA,Dukes County,388
MA,Essex County,1903
MA,Hampden County,388
MA,Hampshire County,736
MA,Nantucket County,388
MA,Norfolk County,388
MA,Suffolk County,822
MI,Alcona County,419
MI,Alger County,419
MI,Allegan County,419
MI,Alpena County,419
MI,Antrim County,419
MI,Arenac County,419
MI,Baraga County,419
MI,Barry County,419
MI,Bay County,419
MI,Benzie County,419
MI,Berrien County,419
MI,Branch County,419
MI,Charlevoix County,419
MI,Cheboygan County,419
MI,Chippewa County,955
MI,Clare County,419
MI,Eaton County,419
MI,Genesee County,853
MI,Gladwin County,419
MI,Gogebic County,419
MI,Grand Traverse County,419
MI,Gratiot County,419
MI,Hillsdale County,419
MI,Houghton County,419
MI,Huron County,748
MI,Ingham County,419
MI,Ionia County,419
MI,Iosco County,419
MI,Iron County,829
MI,Isabella County,419
MI,Kalamazoo County,419
MI,Kalkaska County,419
MI,Keweenaw County,419
MI,Lapeer County,419
MI,Leelanau County,419
MI,Lenawee County,419
MI,Luce County,419
MI,Mackinac County,419
MI,Macomb County,419
MI,Manistee County,419
MI,Marquette County,661
MI,Mecosta County,419
MI,Menominee County,661
MI,Midland County,669
MI,Missaukee County,419
MI,Montcalm County,419
MI,Montmorency County,419
MI,Muskegon County,419
MI,Newaygo County,419
MI,Oakland County,419
MI,Oceana County,419
MI,Ogemaw County,419
