"Wave_time","State","StateFIPS","Start_Date","End_Date","N_State","Current President","Your State Governor"
"Late May","Indiana",18,2020-05-16,2020-06-01,417,36.69757359,55.63480006
"Late May","Kansas",20,2020-05-16,2020-06-01,259,36.08952105,56.89659664
"Late May","Kentucky",21,2020-05-16,2020-06-01,360,47.17143269,63.77515126
"Late May","Louisiana",22,2020-05-16,2020-06-01,410,47.09246887,60.71754403
"Late May","Massachusetts",25,2020-05-16,2020-06-01,485,28.13629019,67.93738627
"Late May","Maryland",24,2020-05-16,2020-06-01,440,25.43222368,69.03558247
"Late May","Maine",23,2020-05-16,2020-06-01,412,36.52624412,50.23036844
"Late May","Michigan",26,2020-05-16,2020-06-01,516,29.62130856,60.25460548
"Late May","Minnesota",27,2020-05-16,2020-06-01,372,34.63312688,60.68679043
"Late May","Missouri",29,2020-05-16,2020-06-01,496,37.97038332,44.11520681
"Late May","Mississippi",28,2020-05-16,2020-06-01,252,44.48186677,53.98004026
"Late May","Montana",30,2020-05-16,2020-06-01,233,39.689343,56.92721258
"Late May","North Carolina",37,2020-05-16,2020-06-01,558,38.99124262,53.31418559
"Late May","North Dakota",38,2020-05-16,2020-06-01,237,44.10584673,60.7653252
"Late May","Nebraska",31,2020-05-16,2020-06-01,178,37.29483967,49.27960849
"Late May","New Hampshire",33,2020-05-16,2020-06-01,378,27.69410089,68.0118362
"Late May","New Jersey",34,2020-05-16,2020-06-01,591,30.56099805,57.13006877
"Late May","New Mexico",35,2020-05-16,2020-06-01,173,39.44393633,53.38325092
"Late May","Nevada",32,2020-05-16,2020-06-01,301,34.68058463,56.86146099
"Late May","New York",36,2020-05-16,2020-06-01,736,34.86066928,67.56342025
"Late May","Ohio",39,2020-05-16,2020-06-01,529,40.64914163,67.56909648
"Late May","Oklahoma",40,2020-05-16,2020-06-01,329,43.3861366,44.57311977
"Late May","Oregon",41,2020-05-16,2020-06-01,452,33.53226967,53.49731026
"Late May","Pennsylvania",42,2020-05-16,2020-06-01,595,37.34438463,52.92225275
"Late May","Rhode Island",44,2020-05-16,2020-06-01,196,19.72625462,65.36534244
"Late May","South Carolina",45,2020-05-16,2020-06-01,394,44.37109705,47.59588003
"Late May","South Dakota",46,2020-05-16,2020-06-01,198,42.16606176,40.06550961
"Late May","Tennessee",47,2020-05-16,2020-06-01,429,51.08544021,50.81791104
"Late May","Texas",48,2020-05-16,2020-06-01,723,37.36504784,47.43566841
"Late May","Utah",49,2020-05-16,2020-06-01,315,37.84975611,53.56805365
"Late May","Virginia",51,2020-05-16,2020-06-01,511,35.89704651,53.74315439
"Late May","Vermont",50,2020-05-16,2020-06-01,182,25.89031059,72.80705506
"Late May","Washington",53,2020-05-16,2020-06-01,553,28.30606031,53.83487699
"Late May","Wisconsin",55,2020-05-16,2020-06-01,461,31.82937175,49.17501667
"Late May","West Virginia",54,2020-05-16,2020-06-01,218,42.34797776,65.87714279
"Late May","Wyoming",56,2020-05-16,2020-06-01,115,56.3900013,59.85881543
"Late Jun","United States",NA,2020-06-12,2020-06-28,22905,33.92627412,53.41207062
"Late Jun","Alaska",2,2020-06-12,2020-06-28,169,37.69991822,48.24645535
"Late Jun","Alabama",1,2020-06-12,2020-06-28,416,44.94216659,47.78054853
"Late Jun","Arkansas",5,2020-06-12,2020-06-28,394,39.53661615,46.29587708
"Late Jun","Arizona",4,2020-06-12,2020-06-28,614,34.96457248,33.62768168
"Late Jun","California",6,2020-06-12,2020-06-28,871,25.08678735,59.17658661
"Late Jun","Colorado",8,2020-06-12,2020-06-28,496,31.65676693,54.87472261
"Late Jun","Connecticut",9,2020-06-12,2020-06-28,424,26.36802426,58.17263263
"Late Jun","Delaware",10,2020-06-12,2020-06-28,356,26.3759197,55.2138749
"Late Jun","Florida",12,2020-06-12,2020-06-28,862,40.03840296,42.90280668
"Late Jun","Georgia",13,2020-06-12,2020-06-28,508,42.11042723,42.46987521
"Late Jun","Hawaii",15,2020-06-12,2020-06-28,498,22.58162356,43.26190087
"Late Jun","Iowa",19,2020-06-12,2020-06-28,414,28.08257165,35.30671582
"Late Jun","Idaho",16,2020-06-12,2020-06-28,363,35.65200853,46.55464825
"Late Jun","Illinois",17,2020-06-12,2020-06-28,555,28.15188053,58.86692447
"Late Jun","Indiana",18,2020-06-12,2020-06-28,497,40.51364533,56.74182549
"Late Jun","Kansas",20,2020-06-12,2020-06-28,378,34.93934221,50.42166587
"Late Jun","Kentucky",21,2020-06-12,2020-06-28,441,49.25486089,59.40096766
"Late Jun","Louisiana",22,2020-06-12,2020-06-28,405,50.07789882,64.34930403
"Late Jun","Massachusetts",25,2020-06-12,2020-06-28,480,26.79989128,70.14808281
"Late Jun","Maryland",24,2020-06-12,2020-06-28,470,29.83841463,70.66366134
"Late Jun","Maine",23,2020-06-12,2020-06-28,381,33.34326645,48.30307536
"Late Jun","Michigan",26,2020-06-12,2020-06-28,470,24.77774819,67.25753849
"Late Jun","Minnesota",27,2020-06-12,2020-06-28,498,31.54835378,52.16920881
"Late Jun","Missouri",29,2020-06-12,2020-06-28,486,42.83769375,44.15847782
"Late Jun","Mississippi",28,2020-06-12,2020-06-28,350,48.83928079,50.46160292
"Late Jun","Montana",30,2020-06-12,2020-06-28,296,40.7361321,55.84022218
"Late Jun","North Carolina",37,2020-06-12,2020-06-28,563,34.0361624,47.77904113
"Late Jun","North Dakota",38,2020-06-12,2020-06-28,200,52.9716631,65.31311389
"Late Jun","Nebraska",31,2020-06-12,2020-06-28,385,42.09756851,49.87126808
"Late Jun","New Hampshire",33,2020-06-12,2020-06-28,376,30.74460944,72.42763009
"Late Jun","New Jersey",34,2020-06-12,2020-06-28,506,28.95087114,66.77644943
"Late Jun","New Mexico",35,2020-06-12,2020-06-28,324,26.41491281,42.32336615
"Late Jun","Nevada",32,2020-06-12,2020-06-28,395,31.5949972,51.599952
"Late Jun","New York",36,2020-06-12,2020-06-28,660,28.0149255,63.35902458
"Late Jun","Ohio",39,2020-06-12,2020-06-28,586,38.16862345,64.67227236
"Late Jun","Oklahoma",40,2020-06-12,2020-06-28,368,43.15169798,45.00639928
"Late Jun","Oregon",41,2020-06-12,2020-06-28,460,35.86292097,47.30532952
"Late Jun","Pennsylvania",42,2020-06-12,2020-06-28,606,35.72251004,47.84604174
"Late Jun","Rhode Island",44,2020-06-12,2020-06-28,330,25.26660386,61.43877595
"Late Jun","South Carolina",45,2020-06-12,2020-06-28,476,38.82494039,42.71206321
"Late Jun","South Dakota",46,2020-06-12,2020-06-28,312,40.50960751,52.79493216
"Late Jun","Tennessee",47,2020-06-12,2020-06-28,487,45.24126007,47.22272615
"Late Jun","Texas",48,2020-06-12,2020-06-28,883,36.1570031,44.20513209
"Late Jun","Utah",49,2020-06-12,2020-06-28,358,38.40140449,50.47032958
"Late Jun","Virginia",51,2020-06-12,2020-06-28,571,33.62687319,47.79069956
"Late Jun","Vermont",50,2020-06-12,2020-06-28,241,27.41023551,74.41304554
"Late Jun","Washington",53,2020-06-12,2020-06-28,450,28.90328917,57.75380443
"Late Jun","Wisconsin",55,2020-06-12,2020-06-28,487,31.06184051,48.0593855
"Late Jun","West Virginia",54,2020-06-12,2020-06-28,333,51.84862823,66.39559244
