FIPS_x,Years of Potential Life Lost Rate (premature death),% Fair/Poor Health,percent_smokers,percent_obese,Food Environment Index,% Physically Inactive,percent Excessive Drinking,Percent Uninsured,PCP Rate,Preventable Hosp stays Rate,Percent Vaccinated Flu,High School Graduation Rate,Percent Some College,Percent Unemployed,Income Ratio,Average Daily PM2.5,Presence of water violation,Percent Severe Housing Problems,Severe Housing Cost Burden,Overcrowding,Inadequate Facilities,Life Expectancy,Number pre-mature Deaths,Percent Diabetic,HIV Prevalence Rate,Percent Food Insecure,Percent Insufficient Sleep,Percent Uninsured Adults,Percent Uninsured children,Median Household Income,Segregation Index non-white/ white,Population,percent < 18,percent 65 and over,percent African American,percent American Indian/Alaskan Native,percent Asian,percent Native Hawaiian/Other Pacific Islander,percent Hispanic,percent Non-Hispanic White,percent Not Proficient in English,percent Female,number Rural,State,cases_2022,Masks,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_65PlusPop_Pct
18113,7622.0,16,21,33,8.7,25,18,11.0,27.0,5073.0,45.0,91.0,50,3.1,3.8,12.8,No,12,9,4,0,77.7,600.0,12,64.0,10,33,12.0,8.0,52764.0,33.0,47452,25.0,15.3,0.5,0.4,0.5,0.1,10.4,87.2,2,49.9,32348.0,IN,14819.868193830296,253.0,37.0,76.2
18117,9388.0,18,20,34,7.7,30,17,10.0,47.0,2214.0,35.0,92.0,47,3.9,4.0,11.4,No,13,10,2,2,75.4,337.0,13,104.0,14,34,12.0,6.0,43061.0,53.0,19426,22.9,19.2,1.3,0.4,0.4,0.0,1.7,95.1,0,50.2,16558.0,IN,5757.515636226332,253.0,52.9,94.4
18119,10252.0,17,20,36,8.3,27,17,11.0,5.0,3432.0,44.0,92.0,49,4.4,3.6,10.8,No,13,9,3,0,74.9,388.0,15,96.0,13,35,12.0,8.0,49044.0,17.0,20839,21.4,18.9,0.4,0.4,0.5,0.0,1.2,96.3,0,49.6,21575.0,IN,6599.919205836887,253.0,40.5,72.0
18121,7183.0,18,22,34,7.8,31,17,12.0,30.0,5723.0,42.0,85.0,48,4.0,3.7,11.1,No,13,11,2,1,79.2,231.0,12,154.0,13,35,13.0,10.0,48537.0,23.0,16886,21.8,19.0,2.4,0.5,0.2,0.0,1.5,94.6,1,52.5,13000.0,IN,4227.88747484299,253.0,37.7,65.5
18123,7680.0,17,20,34,7.5,27,17,8.0,42.0,2571.0,36.0,90.0,48,3.8,4.3,12.1,No,9,8,1,0,77.6,278.0,11,91.0,13,33,9.0,6.0,50670.0,38.0,19081,21.3,18.3,2.5,0.4,0.4,0.0,1.5,94.3,0,46.8,10644.0,IN,5369.973136049199,253.0,54.6,85.4
18127,6997.0,17,19,34,8.1,24,20,7.0,59.0,5940.0,46.0,91.0,68,4.1,4.1,12.7,No,13,12,1,0,78.5,2096.0,11,99.0,11,37,8.0,5.0,67525.0,29.0,168404,22.3,15.9,3.8,0.4,1.5,0.0,10.0,83.2,1,50.5,34106.0,IN,43855.350236229686,253.0,53.7,87.2
18129,6919.0,15,18,30,8.3,25,18,7.0,27.0,6717.0,60.0,93.0,71,3.0,3.9,12.1,No,11,9,2,1,78.8,323.0,11,70.0,10,32,8.0,5.0,65617.0,52.0,25595,22.2,18.0,1.0,0.3,0.6,0.0,1.2,95.9,0,50.3,17298.0,IN,7463.121911958004,253.0,45.3,75.3
18131,9634.0,17,20,31,8.4,28,17,10.0,47.0,6211.0,31.0,92.0,50,3.5,4.0,11.7,No,14,13,1,1,75.8,208.0,12,65.0,12,34,11.0,8.0,50022.0,22.0,12534,22.2,19.2,0.9,0.5,0.2,0.0,2.9,94.5,0,48.9,10848.0,IN,3524.302944838841,253.0,42.8,82.1
18133,7717.0,15,19,32,8.4,31,19,8.0,32.0,4738.0,44.0,91.0,49,3.6,3.6,11.2,No,11,9,2,1,77.6,492.0,11,150.0,12,31,9.0,6.0,57402.0,33.0,37702,19.7,16.2,3.6,0.4,1.1,0.0,1.9,91.9,0,47.6,24601.0,IN,10704.9224038909,253.0,40.3,72.7
18135,9939.0,17,20,35,7.7,26,16,10.0,20.0,4285.0,47.0,91.0,54,4.1,4.1,11.8,No,11,9,1,1,76.4,396.0,12,109.0,13,36,11.0,6.0,46016.0,27.0,24922,23.0,19.9,0.6,0.4,0.4,0.1,3.3,94.3,1,50.9,16191.0,IN,6842.098043750508,253.0,42.3,81.7
