FIPS_x,Years of Potential Life Lost Rate (premature death),% Fair/Poor Health,percent_smokers,percent_obese,Food Environment Index,% Physically Inactive,percent Excessive Drinking,PCP Rate,Preventable Hosp stays Rate,Percent Vaccinated Flu,High School Graduation Rate,Percent Some College,Percent Unemployed,Income Ratio,Average Daily PM2.5,Percent Severe Housing Problems,Severe Housing Cost Burden,Overcrowding,Inadequate Facilities,Life Expectancy,Percent Diabetic,HIV Prevalence Rate,Percent Food Insecure,Percent Insufficient Sleep,Percent Uninsured Adults,Percent Uninsured children,Median Household Income,Segregation index black/white,Segregation Index non-white/ white,Population,percent < 18,percent 65 and over,percent African American,percent American Indian/Alaskan Native,percent Asian,percent Native Hawaiian/Other Pacific Islander,percent Hispanic,percent Non-Hispanic White,percent Not Proficient in English,percent Female,number Rural,Masks,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_65PlusPop_Pct,water,cases,deaths
1091,11228.0,27,21,41,5.3,32,12,41.0,6242.0,32.0,91.0,50,5.7,6.9,10.6,18,16,1,2,74.3,19,174.0,24,39,13.0,3.0,37469.0,25.0,25.0,19375,22.8,19.3,51.1,0.3,0.3,0.2,2.5,44.9,0,52.9,14575.0,267.0,58.3,88.7,0,5895.0,115.0
1093,10860.0,21,21,36,7.9,32,14,30.0,7117.0,39.0,90.0,55,4.8,4.8,10.5,12,11,1,1,74.5,18,120.0,14,38,15.0,3.0,38049.0,43.0,33.0,29833,20.9,21.0,3.7,0.4,0.4,0.1,2.5,91.8,1,50.5,27346.0,267.0,37.0,65.8,0,9689.0,156.0
1095,10530.0,22,22,33,8.1,33,15,59.0,5877.0,45.0,92.0,51,3.8,4.8,11.8,14,11,3,1,74.2,13,116.0,12,36,18.0,3.0,42751.0,52.0,29.0,95548,25.0,16.8,2.4,1.1,0.7,0.3,13.9,80.9,5,50.7,49550.0,267.0,46.4,85.3,0,31626.0,406.0
1097,10333.0,20,19,37,6.4,28,16,66.0,6066.0,42.0,84.0,60,5.2,5.3,10.8,17,15,2,1,75.2,15,503.0,19,37,16.0,3.0,45615.0,56.0,50.0,413955,23.6,15.8,35.6,1.0,2.0,0.0,2.9,57.0,1,52.3,82682.0,267.0,49.8,83.8,0,130646.0,1762.0
1099,12280.0,26,22,39,5.0,32,12,37.0,4791.0,38.0,88.0,40,6.7,8.0,10.4,12,13,1,1,74.4,17,224.0,25,38,16.0,3.0,36432.0,40.0,36.0,21327,21.9,19.6,41.0,1.3,0.4,0.0,1.4,54.3,0,52.4,18234.0,267.0,47.4,76.1,0,6355.0,87.0
1101,9965.0,21,20,37,5.4,26,16,97.0,5809.0,39.0,82.0,62,4.3,5.5,11.9,19,17,2,1,75.8,13,712.0,22,37,15.0,2.0,45833.0,52.0,49.0,226646,23.6,14.6,58.1,0.3,3.1,0.1,3.5,33.9,1,52.8,24063.0,267.0,54.8,87.8,0,69442.0,1001.0
1103,9337.0,20,20,32,8.0,27,15,55.0,5862.0,44.0,90.0,55,4.1,4.7,11.6,13,11,2,0,75.5,13,138.0,13,38,14.0,3.0,49274.0,51.0,44.0,118818,22.8,17.1,12.5,1.1,0.7,0.1,8.3,75.7,2,50.8,46120.0,267.0,43.6,80.4,0,44434.0,544.0
1105,14816.0,32,23,45,4.8,35,12,31.0,5789.0,24.0,93.0,57,7.9,5.4,10.7,20,15,6,1,71.8,20,293.0,30,44,15.0,2.0,26703.0,19.0,19.0,9339,21.7,19.1,67.1,0.2,0.5,0.0,1.7,29.8,0,53.2,10591.0,267.0,49.7,78.5,0,2563.0,49.0
1107,9928.0,25,21,36,6.9,27,14,39.0,5439.0,42.0,98.0,52,5.3,5.8,10.5,16,14,2,1,75.5,16,256.0,21,40,15.0,3.0,38379.0,38.0,36.0,20176,20.0,18.4,40.1,0.2,0.3,0.3,4.6,53.9,1,50.3,19746.0,267.0,50.8,81.9,0,6122.0,118.0
1109,10148.0,22,22,43,6.3,26,16,48.0,5470.0,39.0,87.0,59,4.9,6.6,11.0,15,15,2,0,75.6,13,341.0,21,39,16.0,3.0,40680.0,25.0,21.0,33267,19.3,14.9,37.3,0.7,2.1,0.1,2.2,56.0,1,51.8,17002.0,267.0,42.5,86.0,0,8902.0,141.0
